Frame,plane_x,plane_y
563,-692.9413734520674,-1242.2428859889512
564,-681.6897180469729,-1203.760835225325
565,-669.4326002123044,-1169.1115894381408
566,-656.4988228346749,-1138.6182972491347
567,-643.1855508267962,-1112.4055402177835
568,-629.7583112241408,-1090.3993319346039
569,-616.4505814751118,-1072.3282761319763
570,-603.4375083438192,-1057.776374388098
571,-590.8005979323168,-1046.2512807998598
572,-578.52541988429,-1037.1886479938946
573,-566.5124076159292,-1029.9710028427526
574,-554.6459451155936,-1024.0492323147055
575,-542.8212942691266,-1018.9960526153102
576,-530.9445007947666,-1014.509123434736
577,-518.9323929504591,-1010.4110721722657
578,-506.7124738857788,-1006.6491840204698
579,-494.2215049702155,-1003.2767158203383
580,-481.40462789717617,-1000.4240358449365
581,-468.2153681532871,-998.2961605810516
582,-454.61405241082895,-997.1646996029772
583,-440.5546097310716,-997.3005131065836
584,-425.97751577651366,-998.9352244669536
585,-410.8093263688656,-1002.2567958259208
586,-394.9626658616982,-1007.4094120837689
587,-378.3363674517609,-1014.4933337558019
588,-360.8308526326638,-1023.5503016243761
589,-342.37738801820234,-1034.536228649585
590,-322.9413742693156,-1047.3181716230665
591,-302.52142848058884,-1061.6796653027502
592,-281.13929231304434,-1077.3793922909256
593,-258.83389925307677,-1094.1858530208608
594,-235.66168012080522,-1111.8758137638044
595,-211.69658745942542,-1130.2341785492665
596,-187.03005868479656,-1149.0540463573261
597,-161.75963026406538,-1168.1535093553439
598,-135.96150370318446,-1187.4158850054039
599,-109.68649693884247,-1206.7956216168286
600,-82.9601904480269,-1226.3141480844288
601,-55.78511143505327,-1245.997806109493
602,-28.142185441751895,-1265.8337147427812
603,0.009661287092752602,-1285.7755339803061
604,28.733551310317345,-1305.7442499614347
605,58.11464846095292,-1325.6281786387667
606,88.24724199934637,-1345.2886492392354
607,119.19534954471233,-1364.5771770827444
608,150.98523186881263,-1383.3386949637968
609,183.60468553178382,-1401.414020080452
610,216.98808266823724,-1418.6920277042568
611,251.00210384838994,-1435.1594077545285
612,285.445169426679,-1450.9026479671725
613,320.0474395417611,-1466.108033894682
614,354.4708141324059,-1481.0616488885782
615,388.3307465126767,-1496.1250729526105
616,421.2812254437833,-1511.6405192988975
617,453.03547164419615,-1527.9076740688001
618,483.3667647076277,-1545.1824517675786
619,512.1346270218662,-1563.6375884791012
620,539.3151271009815,-1583.3147720686952
621,564.9995938336631,-1604.115286476787
622,589.3936617719729,-1625.7979347408689
623,612.8172708257562,-1647.9790383306859
624,635.6828711168229,-1670.1605416886919
625,658.3859205567143,-1691.8649358005114
626,681.2704227612122,-1712.6748987091617
627,704.6285244234214,-1732.2337195332393
628,728.6806400702125,-1750.2686706735242
629,753.5467834962209,-1766.625705609754
630,779.2479865082915,-1781.2760444071293
631,805.7081624737397,-1794.3181000917068
632,832.7541200244287,-1805.977492816495
633,860.1268409159826,-1816.5888156768144
634,887.5575962644873,-1826.4842204717258
635,914.8004925955894,-1835.9529365450733
636,941.632694064478,-1845.2412858952187
637,967.8567816034309,-1854.548093294517
638,993.3049459850556,-1864.0162979657366
639,1017.837735734621,-1873.7318909759033
640,1041.3427277566252,-1883.72378224814
641,1063.7344923928333,-1893.9637970661367
642,1084.9528591675764,-1904.374706634762
643,1104.945051512901,-1914.8964754689305
644,1123.653665967369,-1925.5186025193202
645,1141.0163338614357,-1936.2802714337568
646,1156.9704626653959,-1947.2612337558685
647,1171.4640984643195,-1958.5609713126921
648,1184.4577734170828,-1970.2967418741314
649,1195.9249075950877,-1982.6047191556852
650,1205.8518326471494,-1995.6400599549324
651,1214.2368682987112,-2009.5715788113428
652,1221.079658946485,-2024.5238678638138
653,1226.373896838629,-2040.5424407942376
654,1230.1071242526593,-2057.5933683518597
655,1232.2638119225267,-2075.5811119518944
656,1232.8342664463914,-2094.4001208191335
657,1231.8162319966575,-2113.943669603036
658,1229.2148903199688,-2134.1030382950817
659,1225.0428607372107,-2154.7674229541954
660,1219.3203475475223,-2175.8280861025787
661,1212.0786481639318,-2197.2405938611764
662,1203.3656498547432,-2219.07301584692
663,1193.2465565759255,-2241.507225176233
664,1181.7961241034182,-2264.811122266407
665,1169.0700387701434,-2289.236249870859
666,1155.098519898589,-2314.9922710218857
667,1139.886898922662,-2342.2412264153727
668,1123.4157261589958,-2371.0964756585813
669,1105.641478171123,-2401.620230341191
670,1086.511169367448,-2433.770621122464
671,1065.9749738169623,-2467.3483578441237
672,1043.9863089670243,-2501.9936902353807
673,1020.5057106869835,-2537.2149888922036
674,995.5190946202592,-2572.52343299567
675,969.0430522389694,-2607.4729337170183
676,941.1244721788397,-2641.6615240175424
677,911.8404253263305,-2674.731777919471
678,881.2973379006579,-2706.3720550713065
679,849.6049314719479,-2736.355907533117
680,816.8462824362672,-2764.58861176463
681,783.0765036730674,-2791.109850490026
682,748.3246304567697,-2816.0771518656766
683,712.6050100625142,-2839.665725297855
684,675.9218773475247,-2862.0325820887247
685,638.2719263481677,-2883.3293627332173
686,599.6455575053484,-2903.7086078559255
687,560.0272699281305,-2923.323348517651
688,519.4154955686403,-2942.3037459678167
689,477.8511334570792,-2960.7230236415935
690,435.4194366546209,-2978.5948680619204
691,392.2460680298202,-2995.8799615455873
692,348.4662653150364,-3012.537161488997
693,304.20982335863096,-3028.546992265872
694,259.5940153955951,-3043.902394119774
695,214.71828709604284,-3058.601596419407
696,169.6641003128673,-3072.64798725631
697,124.49254511122284,-3086.054781589275
698,79.23918302575935,-3098.855709126227
699,33.91261798119197,-3111.108542021589
700,-11.50295921964269,-3122.8924242455946
701,-57.02095627411663,-3134.2788176190843
702,-102.6364085446852,-3145.3143860985915
703,-148.32107467115776,-3156.0215355908736
704,-194.01794468790308,-3166.3993035932654
705,-239.64094863975396,-3176.42344779841
706,-285.07968073627706,-3186.055515119467
707,-330.2087366110552,-3195.25949907274
708,-374.8865465312871,-3203.997303762166
709,-418.9564215298325,-3212.229272317709
710,-462.26494957418834,-3219.932157529538
711,-504.6754884806457,-3227.112299604598
712,-546.0679148989375,-3233.805090407407
713,-586.3376054805256,-3240.0734515077665
714,-625.395332313236,-3246.0076565502623
715,-663.1703421573876,-3251.707502927669
716,-699.6199293119863,-3257.2350466877706
717,-734.7329066524827,-3262.617504720156
718,-768.5292188234354,-3267.848707023979
719,-801.0460448384202,-3272.8760150896483
720,-832.3251601643991,-3277.588424480302
721,-862.4137983584205,-3281.815994660036
722,-891.3684648433039,-3285.329453963484
723,-919.2556204483054,-3287.840129299494
724,-946.143916541424,-3289.0277223497515
725,-972.0759934952835,-3288.640458421648
726,-997.0638153223238,-3286.508411759547
727,-1021.0895798224209,-3282.540853028526
728,-1044.1159978920819,-3276.7345823740393
729,-1066.0978676996415,-3269.1833125042417
730,-1086.982343511134,-3260.078928487539
731,-1106.7072903671383,-3249.7150710654323
732,-1125.2007991491723,-3238.48819277867
733,-1142.3850616233178,-3226.8689769879797
734,-1158.1940437263959,-3215.268963072674
735,-1172.5743566523736,-3204.010962095834
736,-1185.4831002315811,-3193.3336430450304
737,-1196.884362576933,-3183.3890166842993
738,-1206.7443495158905,-3174.2388881134484
739,-1215.031146637434,-3165.854593188252
740,-1221.7156970414526,-3158.116998520444
741,-1226.772264966723,-3150.8165014777273
742,-1230.18032170249,-3143.669591016025
743,-1231.936397447265,-3136.4183306416535
744,-1232.0646446139995,-3128.8585347795974
